,player_id,GAME_DATE
0,1627749,
0,1627750,2022-04-21
0,203488,
0,1629004,2022-04-20
0,1626204,2022-04-22
0,1630612,
0,1630174,2022-04-20
0,203526,
0,1627777,2022-04-20
0,1630227,
0,1630192,2022-04-21
0,203457,
0,1629669,2022-04-21
0,1628373,2022-04-21
0,1629134,
0,203994,
0,1628021,
0,1629670,2022-04-20
0,1626220,2022-04-21
0,1629643,
0,1629006,2022-04-21
0,1630168,2022-04-22
0,1630171,
0,203506,2022-04-22
0,203482,
0,1626224,
0,1626162,
0,1629672,2022-04-21
0,101108,2022-04-22
0,1626166,2022-04-22
0,203901,2022-04-22
0,1627780,2022-04-21
0,1630691,
0,1629033,2022-04-21
0,203486,
0,1627751,
0,1630197,
0,1630582,2022-04-21
0,1629673,2022-04-21
0,1629645,
0,1629008,2022-04-21
0,203490,2022-04-21
0,1626171,2022-04-20
0,204001,
0,203939,2022-04-21
0,1629619,2022-04-20
0,1626181,
0,1630563,
0,1627752,2022-04-21
0,1630202,2022-04-20
0,1630243,
0,1629674,
0,1630193,
0,203944,
0,1630559,
0,1629629,
0,1628432,2022-04-21
0,1630194,2022-04-20
0,1629675,2022-04-21
0,1630208,
0,1626196,
0,203085,2022-04-21
0,1629130,2022-04-22
0,1629011,
0,1630526,
0,1629676,
0,200765,
0,201565,
0,203082,
0,1626179,
0,201937,
0,1626156,2022-04-21
0,1630346,2022-04-20
0,1627734,
0,203967,2022-04-22
0,203107,
0,1630648,
0,1629678,
0,203471,
0,1630206,
0,1630578,
0,1629012,
0,1629013,2022-04-22
0,1630549,2022-04-20
0,1627783,2022-04-20
0,1627732,2022-04-20
0,1630250,2022-04-20
0,1629014,
0,1630579,
0,1630606,2022-04-22
0,203935,2022-04-20
0,202397,
0,1630188,
0,1630270,2022-04-21
0,203503,2022-04-22
0,1630531,2022-04-20
0,203917,2022-04-20
0,202362,
0,1630205,
0,1630191,
0,1629622,2022-04-22
0,1630591,
0,1630256,
0,1628369,2022-04-20
0,1630678,
0,202066,2022-04-22
0,1630179,2022-04-21
0,1628464,2022-04-20
0,1630271,2022-04-20
0,1630560,2022-04-20
0,202738,
0,1629744,2022-04-20
0,202691,2022-04-21
0,202684,2022-04-20
0,1630550,
0,1629680,2022-04-20
0,1629681,2022-04-21
0,1630214,2022-04-21
0,1630225,
0,1630167,
0,1629308,2022-04-21
0,1626157,2022-04-21
0,1629018,2022-04-20
0,200782,2022-04-22
0,1629730,2022-04-20
0,1626167,
0,202685,2022-04-22
0,1627832,2022-04-20
0,1629020,2022-04-21
0,1630170,
0,1629216,2022-04-22
0,202696,2022-04-20
0,1629731,
0,1630532,
0,1629021,
0,1630688,2022-04-22
0,202689,
0,1629022,
0,202322,
0,203933,
0,1629023,
0,1630613,
0,1629139,2022-04-20
0,1630322,
0,1630570,
0,1629683,2022-04-21
0,201566,
0,1629632,2022-04-20
0,1628401,2022-04-20
0,202355,2022-04-21
0,1630580,
0,1630598,
0,203952,2022-04-21
0,1629623,2022-04-20
0,1630314,
0,1629684,2022-04-20
0,1629026,
0,101150,2022-04-22
0,1630172,2022-04-20
0,1630533,2022-04-21
0,1629057,2022-04-20
0,1629627,2022-04-22
0,1629685,
0,1626159,
0,1630216,
0,1630164,2022-04-21
0,1626174,
0,1630218,
0,1626153,2022-04-22
0,1630589,2022-04-21
0,1630593,2022-04-21
0,1628221,
0,201152,2022-04-20
0,1629027,2022-04-22
0,1630209,2022-04-22
0,1627826,
