,player_id,GAME_DATE
0,1630173,2022-04-20
0,203500,2022-04-21
0,1628389,2022-04-22
0,1630583,2022-04-21
0,200746,2022-04-20
0,1629638,2022-04-21
0,1628960,2022-04-20
0,1628386,
0,1630631,2022-04-22
0,203937,2022-04-21
0,203507,2022-04-20
0,203648,2022-04-20
0,2546,
0,1630175,
0,1628384,2022-04-20
0,1627853,
0,201571,
0,1630166,
0,1629028,2022-04-22
0,1628962,2022-04-21
0,1628963,
0,1630163,
0,1628366,2022-04-20
0,1628964,
0,1630217,2022-04-21
0,1630625,2022-04-20
0,203084,
0,1630567,2022-04-20
0,1629628,
0,203115,2022-04-21
0,1629646,2022-04-20
0,1628966,
0,201587,
0,203145,
0,1629647,
0,203078,
0,1627736,2022-04-21
0,202722,2022-04-21
0,201976,2022-04-21
0,1630180,
0,203920,2022-04-20
0,1629048,
0,202687,2022-04-22
0,202357,2022-04-21
0,202339,
0,1629833,
0,203992,2022-04-22
0,202711,2022-04-21
0,1629626,
0,1630195,2022-04-21
0,1629067,2022-04-20
0,1626164,2022-04-22
0,1630527,
0,1628449,2022-04-20
0,1630547,
0,202340,
0,1628396,2022-04-20
0,1629649,
0,1628969,2022-04-22
0,1628970,
0,1629052,
0,1627763,
0,1629717,2022-04-20
0,1628415,2022-04-21
0,1628971,2022-04-20
0,1627759,2022-04-20
0,1629650,
0,1628425,2022-04-21
0,1630535,
0,1629718,2022-04-20
0,1630602,2022-04-22
0,1628972,2022-04-20
0,1628973,2022-04-21
0,1628418,
0,203493,2022-04-21
0,203504,2022-04-21
0,202692,
0,1630215,2022-04-21
0,202710,2022-04-22
0,1629719,
0,203484,
0,1630267,2022-04-21
0,1628427,2022-04-21
0,1629962,
0,203991,2022-04-22
0,1630176,
0,1628975,2022-04-20
0,1628976,
0,1627936,2022-04-20
0,1630551,2022-04-20
0,1629185,2022-04-21
0,1627737,2022-04-21
0,1630528,
0,1629109,2022-04-22
0,1629634,2022-04-21
0,203903,2022-04-21
0,1629651,2022-04-20
0,1629599,
0,1628381,2022-04-22
0,1628380,
0,201144,2022-04-21
0,1626192,2022-04-20
0,1629076,2022-04-20
0,1630536,2022-04-22
0,202326,2022-04-21
0,203496,
0,1628470,2022-04-22
0,203109,2022-04-22
0,1629633,2022-04-21
0,1630595,
0,203552,2022-04-20
0,201939,2022-04-21
0,203076,
0,202334,
0,1629056,
0,201942,2022-04-20
0,203473,2022-04-22
0,1628978,
0,1628977,
0,203476,2022-04-22
0,203915,2022-04-21
0,1629029,2022-04-21
0,1629652,
0,1630245,2022-04-20
0,201609,2022-04-20
0,203083,2022-04-20
0,1630537,
0,1630561,2022-04-20
0,201142,2022-04-20
0,1630162,2022-04-21
0,1629035,
0,1630556,2022-04-20
0,1629604,
0,201961,
0,203954,2022-04-20
0,202324,
0,1628981,
0,1627827,2022-04-21
0,1630238,2022-04-20
0,1630201,2022-04-20
0,1627854,2022-04-21
0,1630235,2022-04-21
0,203095,
0,1628368,
0,1628982,
0,1628365,
0,1629117,
0,1629655,
0,201568,2022-04-22
0,1629636,
0,1630586,
0,1630568,
0,200752,2022-04-21
0,202331,
0,201959,
0,1630581,
0,1628983,
0,1630264,
0,203497,2022-04-21
0,1629164,
0,203932,2022-04-21
0,201569,
0,1628984,2022-04-22
0,203924,
0,201980,2022-04-20
0,203110,2022-04-21
0,203210,2022-04-21
0,1630224,
0,1629750,2022-04-20
0,201145,2022-04-21
0,1630182,2022-04-21
0,201933,2022-04-20
0,1629656,
0,1629060,
0,1630169,
0,1630181,
0,203501,2022-04-21
0,201935,2022-04-20
0,203090,
0,1629607,2022-04-22
0,1626149,
0,203914,
0,203925,2022-04-20
0,202699,2022-04-20
0,1628404,
0,1628392,
0,2617,2022-04-22
0,1630573,2022-04-20
0,1629637,2022-04-22
0,1630165,
0,202330,
0,1627823,2022-04-21
0,1626195,2022-04-22
0,1629639,2022-04-22
0,1627741,
0,1629312,2022-04-22
0,201588,2022-04-20
0,1630792,2022-04-20
0,1630207,
0,1628988,2022-04-22
0,201950,2022-04-20
0,203200,
0,1626158,
0,203918,
0,201143,2022-04-20
0,1629659,
0,1627863,2022-04-21
0,2730,
0,1630210,2022-04-21
0,1628989,2022-04-22
0,1630190,
0,1630624,
0,1629631,2022-04-22
0,1630538,2022-04-21
0,201586,2022-04-20
0,2738,2022-04-21
0,204060,
0,1627742,2022-04-22
0,202681,2022-04-20
0,1628371,
0,1628402,
0,1630543,
0,1628367,
0,202704,
0,1628991,2022-04-21
0,2544,
0,1629660,
0,1630198,2022-04-20
0,1629661,2022-04-22
0,1630525,2022-04-20
0,1630552,2022-04-22
0,1629640,
0,1630553,
0,1626169,
0,203999,2022-04-21
0,1627745,
0,1630529,2022-04-22
0,1630539,
0,1630222,
0,1630200,
0,1626145,2022-04-21
0,1627884,2022-04-20
0,201599,2022-04-20
0,202709,
0,1628379,
0,1630296,
0,1630557,
0,1628467,2022-04-21
0,1630233,2022-04-21
0,1628995,2022-04-22
0,1629723,2022-04-21
0,1627788,2022-04-20
0,1628436,2022-04-20
0,1630249,
0,1629083,
0,1630228,2022-04-21
0,1628398,
0,203897,2022-04-20
0,1630237,
0,203087,
0,1629111,
0,1629641,
0,1627774,2022-04-21
0,1627747,
0,1627814,2022-04-21
0,1630240,
0,203458,
0,202695,
0,1630575,
0,1630184,2022-04-22
0,203081,
0,1629642,
0,1630587,
0,1626172,2022-04-21
0,201572,2022-04-20
0,201577,
0,1629712,
0,201567,
0,200768,2022-04-22
0,1630994,2022-04-22
0,1627789,2022-04-22
0,1626168,
0,1630177,
0,1630572,2022-04-20
0,1629611,
0,1630544,
0,1626246,2022-04-21
0,1628374,
0,1630230,2022-04-22
0,1628997,2022-04-22
0,1628998,
0,1630231,
0,1629726,
0,202083,2022-04-20
0,1630178,2022-04-20
0,1630219,2022-04-22
0,1630540,
0,1630644,
0,203468,2022-04-22
0,204456,
0,1630183,2022-04-21
0,1629667,
0,203926,
0,201580,2022-04-22
0,203585,
0,1629162,2022-04-21
0,203463,
0,1629001,2022-04-21
0,1629002,
0,203114,2022-04-20
0,201988,2022-04-20
0,200794,2022-04-20
0,1629003,2022-04-20
0,1630558,
0,1628378,2022-04-21
0,1630596,
0,1628370,
0,202328,2022-04-21
0,1630541,2022-04-21
0,1629875,
0,1629630,2022-04-21
0,1629752,2022-04-20
0,202693,2022-04-22
0,1628420,2022-04-21
0,202694,
0,1628539,2022-04-22
0,1630530,2022-04-22
